# Freq(Hz) Mag(ohms) Phase(deg)
2.32582582582583e+02 -1.64502289170126e+01 -8.82343157439076e+01
2.33533533533534e+02 -1.64856413855993e+01 -8.82415020647982e+01
2.34484484484484e+02 -1.65209101790771e+01 -8.82486301405589e+01
2.35435435435435e+02 -1.65560364576404e+01 -8.82557006762751e+01
2.36386386386386e+02 -1.65910213674986e+01 -8.82627143657002e+01
2.37337337337337e+02 -1.66258660410990e+01 -8.82696718914821e+01
2.38288288288288e+02 -1.66605715973467e+01 -8.82765739253848e+01
2.39239239239239e+02 -1.66951391418193e+01 -8.82834211285041e+01
2.40190190190190e+02 -1.67295697669771e+01 -8.82902141514788e+01
2.41141141141141e+02 -1.67638645523706e+01 -8.82969536346960e+01
2.42092092092092e+02 -1.67980245648419e+01 -8.83036402084929e+01
2.43043043043043e+02 -1.68320508587241e+01 -8.83102744933528e+01
2.43993993993994e+02 -1.68659444760353e+01 -8.83168571000967e+01
2.44944944944945e+02 -1.68997064466701e+01 -8.83233886300709e+01
2.45895895895896e+02 -1.69333377885862e+01 -8.83298696753297e+01
2.46846846846847e+02 -1.69668395079886e+01 -8.83363008188145e+01
2.47797797797798e+02 -1.70002125995092e+01 -8.83426826345281e+01
2.48748748748749e+02 -1.70334580463839e+01 -8.83490156877052e+01
2.49699699699700e+02 -1.70665768206254e+01 -8.83553005349796e+01
2.50650650650651e+02 -1.70995698831939e+01 -8.83615377245471e+01
2.51601601601602e+02 -1.71324381841634e+01 -8.83677277963241e+01
2.52552552552553e+02 -1.71651826628854e+01 -8.83738712821042e+01
2.53503503503504e+02 -1.71978042481501e+01 -8.83799687057096e+01
2.54454454454454e+02 -1.72303038583432e+01 -8.83860205831403e+01
2.55405405405405e+02 -1.72626824016013e+01 -8.83920274227195e+01
2.56356356356356e+02 -1.72949407759633e+01 -8.83979897252355e+01
2.57307307307307e+02 -1.73270798695198e+01 -8.84039079840812e+01
2.58258258258258e+02 -1.73591005605591e+01 -8.84097826853897e+01
2.59209209209209e+02 -1.73910037177110e+01 -8.84156143081677e+01
2.60160160160160e+02 -1.74227902000878e+01 -8.84214033244251e+01
2.61111111111111e+02 -1.74544608574227e+01 -8.84271501993028e+01
2.62062062062062e+02 -1.74860165302057e+01 -8.84328553911966e+01
2.63013013013013e+02 -1.75174580498173e+01 -8.84385193518796e+01
2.63963963963964e+02 -1.75487862386592e+01 -8.84441425266209e+01
2.64914914914915e+02 -1.75800019102835e+01 -8.84497253543023e+01
2.65865865865866e+02 -1.76111058695188e+01 -8.84552682675326e+01
2.66816816816817e+02 -1.76420989125944e+01 -8.84607716927590e+01
2.67767767767768e+02 -1.76729818272627e+01 -8.84662360503765e+01
2.68718718718719e+02 -1.77037553929186e+01 -8.84716617548350e+01
2.69669669669670e+02 -1.77344203807172e+01 -8.84770492147438e+01
2.70620620620621e+02 -1.77649775536899e+01 -8.84823988329739e+01
2.71571571571572e+02 -1.77954276668576e+01 -8.84877110067592e+01
2.72522522522523e+02 -1.78257714673428e+01 -8.84929861277936e+01
2.73473473473473e+02 -1.78560096944787e+01 -8.84982245823282e+01
2.74424424424424e+02 -1.78861430799178e+01 -8.85034267512648e+01
2.75375375375375e+02 -1.79161723477371e+01 -8.85085930102487e+01
2.76326326326326e+02 -1.79460982145429e+01 -8.85137237297586e+01
2.77277277277277e+02 -1.79759213895728e+01 -8.85188192751955e+01
2.78228228228228e+02 -1.80056425747965e+01 -8.85238800069691e+01
2.79179179179179e+02 -1.80352624650145e+01 -8.85289062805826e+01
2.80130130130130e+02 -1.80647817479555e+01 -8.85338984467166e+01
2.81081081081081e+02 -1.80942011043721e+01 -8.85388568513097e+01
2.82032032032032e+02 -1.81235212081343e+01 -8.85437818356389e+01
2.82982982982983e+02 -1.81527427263226e+01 -8.85486737363976e+01
2.83933933933934e+02 -1.81818663193185e+01 -8.85535328857726e+01
2.84884884884885e+02 -1.82108926408935e+01 -8.85583596115188e+01
2.85835835835836e+02 -1.82398223382978e+01 -8.85631542370333e+01
2.86786786786787e+02 -1.82686560523459e+01 -8.85679170814271e+01
2.87737737737738e+02 -1.82973944175020e+01 -8.85726484595964e+01
2.88688688688689e+02 -1.83260380619635e+01 -8.85773486822914e+01
2.89639639639640e+02 -1.83545876077435e+01 -8.85820180561847e+01
2.90590590590591e+02 -1.83830436707509e+01 -8.85866568839377e+01
2.91541541541542e+02 -1.84114068608708e+01 -8.85912654642664e+01
2.92492492492492e+02 -1.84396777820425e+01 -8.85958440920046e+01
2.93443443443443e+02 -1.84678570323360e+01 -8.86003930581678e+01
2.94394394394394e+02 -1.84959452040287e+01 -8.86049126500139e+01
2.95345345345345e+02 -1.85239428836791e+01 -8.86094031511043e+01
2.96296296296296e+02 -1.85518506522005e+01 -8.86138648413629e+01
2.97247247247247e+02 -1.85796690849332e+01 -8.86182979971340e+01
2.98198198198198e+02 -1.86073987517154e+01 -8.86227028912397e+01
2.99149149149149e+02 -1.86350402169533e+01 -8.86270797930357e+01
3.00100100100100e+02 -1.86625940396896e+01 -8.86314289684663e+01
3.01051051051051e+02 -1.86900607736715e+01 -8.86357506801177e+01
3.02002002002002e+02 -1.87174409674170e+01 -8.86400451872716e+01
